transaction_id,customer_id,product_id,quantity,unit_price,discount_rate,total_amount,transaction_date,payment_method,status
TXN_000042,CUST_0600,PROD_0012,1,848.02,0.11,754.74,2025-05-21,Credit Card,Pending
TXN_000043,CUST_0806,PROD_0176,3,726.54,0.18,1787.29,2025-05-28,Bank Transfer,Pending
TXN_000044,CUST_0405,PROD_0170,1,421.87,0.14,362.81,2025-05-20,Debit Card,Completed
TXN_000045,CUST_0765,PROD_0101,5,612.96,0.09,2788.97,2025-05-17,Debit Card,Pending
TXN_000046,CUST_0694,PROD_0187,3,452.6,0.29,964.04,2025-06-06,Debit Card,Completed
TXN_000047,CUST_0043,PROD_0002,5,361.26,0.18,1481.17,2025-05-20,Credit Card,Pending
TXN_000048,CUST_0216,PROD_0192,3,827.06,0.06,2332.31,2025-05-09,Debit Card,Completed
TXN_000049,CUST_0189,PROD_0057,5,575.51,0.25,2158.16,2025-05-31,Credit Card,Completed
TXN_000050,CUST_0688,PROD_0146,1,704.85,0.26,521.59,2025-05-08,Bank Transfer,Cancelled
TXN_000051,CUST_0563,PROD_0019,3,185.93,0.2,446.23,2025-05-29,Credit Card,Completed
TXN_000052,CUST_0744,PROD_0149,4,832.35,0.29,2363.87,2025-05-26,Debit Card,Cancelled
TXN_000053,CUST_0672,PROD_0061,1,209.9,0.09,191.01,2025-06-04,Debit Card,Pending
TXN_000054,CUST_0498,PROD_0116,3,377.97,0.18,929.81,2025-05-28,Debit Card,Cancelled
TXN_000055,CUST_0581,PROD_0094,3,479.36,0.29,1021.04,2025-06-01,Credit Card,Pending
TXN_000056,CUST_0253,PROD_0057,4,575.51,0.08,2117.88,2025-05-26,Debit Card,Cancelled
TXN_000057,CUST_0751,PROD_0085,4,707.59,0.14,2434.11,2025-05-26,E-wallet,Pending
TXN_000058,CUST_0565,PROD_0028,2,735.26,0.19,1191.12,2025-06-04,E-wallet,Completed
TXN_000059,CUST_0913,PROD_0138,2,173.23,0.08,318.74,2025-05-09,Credit Card,Cancelled
TXN_000060,CUST_0078,PROD_0005,5,567.97,0.19,2300.28,2025-05-11,Bank Transfer,Cancelled
TXN_000061,CUST_0218,PROD_0010,5,719.77,0.08,3310.94,2025-05-09,Bank Transfer,Cancelled
TXN_000062,CUST_0794,PROD_0039,3,272.61,0.12,719.69,2025-05-09,E-wallet,Completed
TXN_000063,CUST_0476,PROD_0129,5,47.35,0.03,229.65,2025-05-26,Credit Card,Cancelled
TXN_000064,CUST_0245,PROD_0158,2,726.33,0.23,1118.55,2025-06-02,Bank Transfer,Completed
TXN_000065,CUST_0184,PROD_0145,5,386.45,0.2,1545.8,2025-06-02,Bank Transfer,Pending
TXN_000066,CUST_0042,PROD_0057,4,575.51,0.07,2140.9,2025-05-29,E-wallet,Completed
TXN_000067,CUST_0044,PROD_0172,2,781.37,0.16,1312.7,2025-05-12,E-wallet,Pending
TXN_000068,CUST_0481,PROD_0117,1,852.7,0.01,844.17,2025-05-17,E-wallet,Completed
TXN_000069,CUST_0721,PROD_0134,3,175.35,0.25,394.54,2025-05-29,Debit Card,Pending
TXN_000070,CUST_0670,PROD_0097,3,896.53,0.18,2205.46,2025-05-09,Credit Card,Cancelled
TXN_000071,CUST_0258,PROD_0097,2,896.53,0.15,1524.1,2025-05-26,E-wallet,Pending
TXN_000072,CUST_0812,PROD_0124,5,339.3,0.0,1696.5,2025-05-09,Debit Card,Pending
TXN_000073,CUST_0170,PROD_0059,1,949.57,0.15,807.13,2025-05-29,Debit Card,Completed
TXN_000074,CUST_0192,PROD_0041,3,841.46,0.18,2069.99,2025-05-11,Credit Card,Cancelled
TXN_000075,CUST_0236,PROD_0107,3,997.49,0.22,2334.13,2025-05-22,Bank Transfer,Pending
TXN_000076,CUST_0216,PROD_0152,2,973.39,0.19,1576.89,2025-05-24,Credit Card,Completed
TXN_000077,CUST_0045,PROD_0033,5,348.39,0.18,1428.4,2025-06-02,Credit Card,Cancelled
TXN_000078,CUST_0151,PROD_0015,2,976.1,0.08,1796.02,2025-06-01,Bank Transfer,Cancelled
TXN_000079,CUST_0993,PROD_0145,1,386.45,0.26,285.97,2025-05-14,E-wallet,Completed
TXN_000080,CUST_0222,PROD_0115,5,746.77,0.3,2613.69,2025-05-10,Bank Transfer,Completed
TXN_000081,CUST_0225,PROD_0106,5,683.95,0.04,3282.96,2025-05-19,Debit Card,Cancelled
TXN_000082,CUST_0676,PROD_0131,3,27.74,0.05,79.06,2025-05-16,E-wallet,Pending
TXN_000083,CUST_0611,PROD_0152,1,973.39,0.07,905.25,2025-05-25,Debit Card,Completed
TXN_000084,CUST_0017,PROD_0052,5,671.46,0.26,2484.4,2025-05-21,Bank Transfer,Completed
TXN_000085,CUST_0621,PROD_0025,2,452.16,0.14,777.72,2025-05-18,Credit Card,Cancelled
TXN_000086,CUST_0516,PROD_0193,1,564.55,0.03,547.61,2025-05-16,Debit Card,Cancelled
TXN_000087,CUST_0553,PROD_0001,4,766.41,0.16,2575.14,2025-05-26,Credit Card,Cancelled
TXN_000088,CUST_0543,PROD_0110,2,641.93,0.28,924.38,2025-05-22,Bank Transfer,Pending
TXN_000089,CUST_0604,PROD_0190,5,641.16,0.03,3109.63,2025-06-02,E-wallet,Pending
TXN_000090,CUST_0785,PROD_0060,1,134.92,0.08,124.13,2025-05-09,Bank Transfer,Pending
TXN_000091,CUST_0194,PROD_0002,1,361.26,0.17,299.85,2025-06-03,Credit Card,Pending
TXN_000092,CUST_0671,PROD_0053,3,235.24,0.12,621.03,2025-06-03,Debit Card,Pending
TXN_000093,CUST_0668,PROD_0150,3,126.56,0.08,349.31,2025-05-20,Bank Transfer,Cancelled
TXN_000094,CUST_0375,PROD_0157,3,949.95,0.3,1994.9,2025-05-25,Debit Card,Pending
TXN_000095,CUST_0566,PROD_0143,4,994.73,0.05,3779.97,2025-05-20,Bank Transfer,Pending
TXN_000096,CUST_0315,PROD_0148,3,626.57,0.23,1447.38,2025-05-25,Debit Card,Cancelled
TXN_000097,CUST_0122,PROD_0192,2,827.06,0.13,1439.08,2025-05-15,Debit Card,Completed
TXN_000098,CUST_0220,PROD_0131,4,27.74,0.24,84.33,2025-05-12,Credit Card,Completed
TXN_000099,CUST_0399,PROD_0163,1,853.48,0.24,648.64,2025-05-11,Debit Card,Pending
TXN_000100,CUST_0949,PROD_0154,4,691.32,0.03,2682.32,2025-05-29,Debit Card,Pending
TXN_000101,CUST_0082,PROD_0156,1,836.88,0.22,652.77,2025-05-08,Bank Transfer,Cancelled
TXN_000102,CUST_0672,PROD_0134,3,175.35,0.21,415.58,2025-05-18,Credit Card,Completed
TXN_000103,CUST_0656,PROD_0127,4,138.11,0.0,552.44,2025-05-10,E-wallet,Completed
TXN_000104,CUST_0035,PROD_0154,5,691.32,0.15,2938.11,2025-05-30,Debit Card,Cancelled
TXN_000105,CUST_0037,PROD_0093,2,655.07,0.2,1048.11,2025-06-01,Credit Card,Pending
TXN_000106,CUST_0799,PROD_0103,3,268.54,0.2,644.5,2025-05-25,Debit Card,Cancelled
TXN_000107,CUST_0016,PROD_0189,1,553.61,0.28,398.6,2025-05-20,E-wallet,Cancelled
TXN_000108,CUST_0850,PROD_0144,5,57.75,0.1,259.88,2025-05-11,E-wallet,Completed
TXN_000109,CUST_0621,PROD_0050,4,233.98,0.28,673.86,2025-05-19,Credit Card,Pending
TXN_000110,CUST_0180,PROD_0105,5,807.38,0.03,3915.79,2025-06-04,E-wallet,Pending
TXN_000111,CUST_0970,PROD_0030,5,110.41,0.29,391.96,2025-05-09,E-wallet,Cancelled
TXN_000112,CUST_0454,PROD_0097,5,896.53,0.15,3810.25,2025-05-30,E-wallet,Pending
TXN_000113,CUST_0698,PROD_0118,5,584.51,0.26,2162.69,2025-05-22,Credit Card,Pending
TXN_000114,CUST_0070,PROD_0098,2,226.03,0.2,361.65,2025-05-30,E-wallet,Pending
TXN_000115,CUST_0979,PROD_0091,5,855.28,0.16,3592.18,2025-05-15,E-wallet,Completed
TXN_000116,CUST_0295,PROD_0024,4,982.56,0.2,3144.19,2025-05-11,E-wallet,Completed
TXN_000117,CUST_0568,PROD_0046,4,494.21,0.09,1798.92,2025-05-31,E-wallet,Completed
TXN_000118,CUST_0970,PROD_0192,2,827.06,0.15,1406.0,2025-05-31,Debit Card,Cancelled
TXN_000119,CUST_0248,PROD_0068,2,925.68,0.07,1721.76,2025-05-11,Debit Card,Cancelled
TXN_000120,CUST_0365,PROD_0040,1,104.96,0.04,100.76,2025-06-04,Bank Transfer,Cancelled
TXN_000121,CUST_0007,PROD_0196,5,347.94,0.29,1235.19,2025-05-10,Bank Transfer,Pending
TXN_000122,CUST_0636,PROD_0081,4,793.58,0.27,2317.25,2025-05-09,E-wallet,Pending
TXN_000123,CUST_0188,PROD_0196,5,347.94,0.08,1600.52,2025-05-30,Debit Card,Completed
TXN_000124,CUST_0539,PROD_0109,4,817.85,0.28,2355.41,2025-06-05,E-wallet,Pending
TXN_000125,CUST_0882,PROD_0176,2,726.54,0.14,1249.65,2025-06-03,Bank Transfer,Pending
TXN_000126,CUST_0706,PROD_0003,1,596.59,0.2,477.27,2025-05-25,Credit Card,Pending
TXN_000127,CUST_0371,PROD_0157,3,949.95,0.06,2678.86,2025-05-29,Debit Card,Pending
TXN_000128,CUST_0483,PROD_0157,3,949.95,0.11,2536.37,2025-05-22,Bank Transfer,Completed
TXN_000129,CUST_0430,PROD_0180,3,840.64,0.11,2244.51,2025-05-25,E-wallet,Pending
TXN_000130,CUST_0185,PROD_0147,2,426.66,0.29,605.86,2025-05-16,Debit Card,Completed
TXN_000131,CUST_0739,PROD_0070,2,389.21,0.17,646.09,2025-05-10,Bank Transfer,Completed
TXN_000132,CUST_0150,PROD_0190,2,641.16,0.14,1102.8,2025-06-06,Debit Card,Pending
TXN_000133,CUST_0512,PROD_0035,5,985.42,0.16,4138.76,2025-05-27,Bank Transfer,Pending
TXN_000134,CUST_0257,PROD_0144,5,57.75,0.01,285.86,2025-06-03,Debit Card,Completed
TXN_000135,CUST_0221,PROD_0066,4,783.87,0.25,2351.61,2025-06-03,Bank Transfer,Cancelled
TXN_000136,CUST_0343,PROD_0067,3,156.72,0.11,418.44,2025-05-20,E-wallet,Pending
TXN_000137,CUST_0021,PROD_0106,1,683.95,0.11,608.72,2025-05-16,Debit Card,Cancelled
TXN_000138,CUST_0590,PROD_0167,5,279.11,0.05,1325.77,2025-05-13,E-wallet,Pending
TXN_000139,CUST_0333,PROD_0173,5,488.25,0.15,2075.06,2025-05-14,Bank Transfer,Completed
TXN_000140,CUST_0391,PROD_0158,3,726.33,0.14,1873.93,2025-06-02,Debit Card,Cancelled
TXN_000141,CUST_0828,PROD_0087,4,249.52,0.19,808.44,2025-05-19,Bank Transfer,Completed
TXN_000142,CUST_0082,PROD_0042,3,13.78,0.07,38.45,2025-05-27,E-wallet,Cancelled
TXN_000143,CUST_0274,PROD_0155,4,12.71,0.08,46.77,2025-05-23,E-wallet,Cancelled
TXN_000144,CUST_0602,PROD_0134,4,175.35,0.12,617.23,2025-06-01,Credit Card,Completed
TXN_000145,CUST_0746,PROD_0061,3,209.9,0.28,453.38,2025-05-15,Credit Card,Completed
TXN_000146,CUST_0171,PROD_0102,1,73.2,0.03,71.0,2025-05-08,Bank Transfer,Cancelled
TXN_000147,CUST_0056,PROD_0007,4,99.35,0.16,333.82,2025-06-04,Credit Card,Pending
TXN_000148,CUST_0633,PROD_0040,1,104.96,0.2,83.97,2025-05-09,Bank Transfer,Pending
TXN_000149,CUST_0235,PROD_0064,3,858.06,0.13,2239.54,2025-06-02,Debit Card,Cancelled
TXN_000150,CUST_0859,PROD_0044,1,179.12,0.01,177.33,2025-05-26,E-wallet,Pending
TXN_000151,CUST_0479,PROD_0139,3,232.08,0.16,584.84,2025-06-02,Debit Card,Cancelled
TXN_000152,CUST_0612,PROD_0117,5,852.7,0.13,3709.24,2025-05-17,E-wallet,Pending
TXN_000153,CUST_0494,PROD_0139,2,232.08,0.24,352.76,2025-05-23,E-wallet,Pending
TXN_000154,CUST_0423,PROD_0067,2,156.72,0.09,285.23,2025-06-06,Debit Card,Pending
TXN_000155,CUST_0294,PROD_0121,5,145.99,0.0,729.95,2025-05-08,Bank Transfer,Pending
TXN_000156,CUST_0307,PROD_0003,4,596.59,0.24,1813.63,2025-05-18,Debit Card,Completed
TXN_000157,CUST_0562,PROD_0096,2,807.03,0.12,1420.37,2025-05-20,Bank Transfer,Pending
TXN_000158,CUST_0256,PROD_0042,4,13.78,0.25,41.34,2025-05-30,E-wallet,Completed
TXN_000159,CUST_0433,PROD_0161,2,366.61,0.15,623.24,2025-05-12,E-wallet,Pending
TXN_000160,CUST_0665,PROD_0191,5,658.05,0.24,2500.59,2025-05-24,Debit Card,Completed
TXN_000161,CUST_0187,PROD_0035,3,985.42,0.03,2867.57,2025-05-23,Bank Transfer,Pending
TXN_000162,CUST_0718,PROD_0160,4,59.58,0.06,224.02,2025-06-06,Debit Card,Completed
TXN_000163,CUST_0993,PROD_0137,1,996.18,0.06,936.41,2025-06-03,E-wallet,Pending
TXN_000164,CUST_0129,PROD_0184,4,511.86,0.22,1597.0,2025-05-30,Credit Card,Completed
TXN_000165,CUST_0016,PROD_0127,2,138.11,0.1,248.6,2025-05-28,Bank Transfer,Pending
TXN_000166,CUST_0475,PROD_0179,1,352.29,0.1,317.06,2025-05-11,Debit Card,Completed
TXN_000167,CUST_0273,PROD_0199,4,115.89,0.02,454.29,2025-05-22,Debit Card,Completed
TXN_000168,CUST_0918,PROD_0065,4,788.69,0.25,2366.07,2025-06-03,Debit Card,Pending
TXN_000169,CUST_0790,PROD_0114,2,657.89,0.22,1026.31,2025-06-05,Debit Card,Pending
TXN_000170,CUST_0753,PROD_0198,1,897.91,0.16,754.24,2025-05-31,Bank Transfer,Pending
TXN_000171,CUST_0698,PROD_0080,3,761.9,0.05,2171.41,2025-05-14,Credit Card,Cancelled
TXN_000172,CUST_0960,PROD_0141,5,714.0,0.04,3427.2,2025-05-22,E-wallet,Completed
TXN_000173,CUST_0370,PROD_0014,2,110.02,0.29,156.23,2025-05-30,Bank Transfer,Pending
TXN_000174,CUST_0016,PROD_0043,3,485.53,0.18,1194.4,2025-05-25,Debit Card,Completed
TXN_000175,CUST_0993,PROD_0011,5,156.23,0.24,593.67,2025-05-22,Debit Card,Pending
TXN_000176,CUST_0790,PROD_0023,2,337.86,0.05,641.93,2025-06-04,E-wallet,Cancelled
TXN_000177,CUST_0062,PROD_0016,3,652.69,0.19,1586.04,2025-05-15,Credit Card,Completed
TXN_000178,CUST_0500,PROD_0060,3,134.92,0.29,287.38,2025-05-12,E-wallet,Pending
TXN_000179,CUST_0751,PROD_0050,1,233.98,0.21,184.84,2025-05-26,Debit Card,Pending
TXN_000180,CUST_0921,PROD_0011,4,156.23,0.21,493.69,2025-05-20,E-wallet,Cancelled
TXN_000181,CUST_0714,PROD_0126,2,580.52,0.17,963.66,2025-05-20,E-wallet,Pending
TXN_000182,CUST_0750,PROD_0120,3,534.54,0.26,1186.68,2025-05-18,Debit Card,Completed
TXN_000183,CUST_0544,PROD_0040,4,104.96,0.09,382.05,2025-05-29,E-wallet,Pending
TXN_000184,CUST_0001,PROD_0199,5,115.89,0.11,515.71,2025-06-01,Credit Card,Cancelled
TXN_000185,CUST_0878,PROD_0094,5,479.36,0.07,2229.02,2025-05-14,Credit Card,Cancelled
TXN_000186,CUST_0991,PROD_0138,4,173.23,0.06,651.34,2025-05-16,Bank Transfer,Cancelled
TXN_000187,CUST_0158,PROD_0157,3,949.95,0.1,2564.87,2025-05-17,E-wallet,Completed
TXN_000188,CUST_0099,PROD_0134,1,175.35,0.01,173.6,2025-06-02,Debit Card,Completed
TXN_000189,CUST_0207,PROD_0028,4,735.26,0.06,2764.58,2025-06-05,Bank Transfer,Cancelled
TXN_000190,CUST_0502,PROD_0135,5,461.37,0.21,1822.41,2025-05-29,Credit Card,Pending
TXN_000191,CUST_0227,PROD_0156,1,836.88,0.0,836.88,2025-05-08,Debit Card,Cancelled
TXN_000192,CUST_0504,PROD_0021,4,190.26,0.24,578.39,2025-06-05,E-wallet,Cancelled
TXN_000193,CUST_0762,PROD_0107,3,997.49,0.24,2274.28,2025-06-05,E-wallet,Cancelled
TXN_000194,CUST_0042,PROD_0188,1,111.62,0.25,83.72,2025-06-04,Debit Card,Cancelled
TXN_000195,CUST_0100,PROD_0026,2,696.24,0.16,1169.68,2025-05-31,Debit Card,Cancelled
TXN_000196,CUST_0673,PROD_0064,5,858.06,0.19,3475.14,2025-06-01,Bank Transfer,Cancelled
TXN_000197,CUST_0109,PROD_0197,5,526.77,0.11,2344.13,2025-05-23,Bank Transfer,Completed
TXN_000198,CUST_0171,PROD_0047,5,645.45,0.12,2839.98,2025-05-27,Debit Card,Cancelled
TXN_000199,CUST_0615,PROD_0114,3,657.89,0.27,1440.78,2025-05-20,E-wallet,Pending
TXN_000200,CUST_0423,PROD_0196,4,347.94,0.25,1043.82,2025-05-27,Debit Card,Cancelled
TXN_000201,CUST_0559,PROD_0055,4,882.84,0.23,2719.15,2025-05-08,E-wallet,Pending
TXN_000202,CUST_0985,PROD_0116,4,377.97,0.29,1073.43,2025-06-06,Credit Card,Pending
TXN_000203,CUST_0611,PROD_0005,5,567.97,0.04,2726.26,2025-05-09,E-wallet,Completed
TXN_000204,CUST_0308,PROD_0057,2,575.51,0.26,851.75,2025-06-06,E-wallet,Cancelled
TXN_000205,CUST_0524,PROD_0143,5,994.73,0.28,3581.03,2025-06-02,Credit Card,Completed
TXN_000206,CUST_0472,PROD_0092,2,650.91,0.04,1249.75,2025-05-26,Debit Card,Completed
TXN_000207,CUST_0263,PROD_0077,1,143.04,0.17,118.72,2025-05-19,Debit Card,Cancelled
TXN_000208,CUST_0080,PROD_0186,3,803.25,0.24,1831.41,2025-06-01,Bank Transfer,Cancelled
TXN_000209,CUST_0720,PROD_0148,1,626.57,0.18,513.79,2025-05-28,Credit Card,Cancelled
TXN_000210,CUST_0828,PROD_0148,4,626.57,0.02,2456.15,2025-06-05,E-wallet,Pending
TXN_000211,CUST_0901,PROD_0112,4,300.85,0.28,866.45,2025-06-03,Debit Card,Cancelled
TXN_000212,CUST_0669,PROD_0155,1,12.71,0.19,10.3,2025-05-17,Bank Transfer,Completed
TXN_000213,CUST_0313,PROD_0135,1,461.37,0.1,415.23,2025-05-19,Debit Card,Pending
TXN_000214,CUST_0515,PROD_0179,2,352.29,0.05,669.35,2025-05-16,Bank Transfer,Pending
TXN_000215,CUST_0771,PROD_0153,5,168.77,0.15,717.27,2025-05-30,Bank Transfer,Pending
TXN_000216,CUST_0806,PROD_0101,2,612.96,0.04,1176.88,2025-06-04,Bank Transfer,Cancelled
TXN_000217,CUST_0764,PROD_0013,5,707.49,0.12,3112.96,2025-06-04,Bank Transfer,Cancelled
TXN_000218,CUST_0445,PROD_0199,2,115.89,0.23,178.47,2025-05-22,Debit Card,Pending
TXN_000219,CUST_0405,PROD_0167,5,279.11,0.06,1311.82,2025-05-18,Debit Card,Completed
TXN_000220,CUST_0074,PROD_0069,4,868.8,0.1,3127.68,2025-05-08,Credit Card,Completed
TXN_000221,CUST_0688,PROD_0106,4,683.95,0.11,2434.86,2025-05-31,E-wallet,Pending
TXN_000222,CUST_0609,PROD_0168,1,652.36,0.23,502.32,2025-06-01,E-wallet,Cancelled
TXN_000223,CUST_0842,PROD_0114,5,657.89,0.04,3157.87,2025-06-05,Debit Card,Completed
TXN_000224,CUST_0702,PROD_0096,2,807.03,0.23,1242.83,2025-05-10,Credit Card,Completed
TXN_000225,CUST_0758,PROD_0014,2,110.02,0.28,158.43,2025-05-08,Debit Card,Pending
TXN_000226,CUST_0015,PROD_0088,1,185.81,0.09,169.09,2025-05-22,Credit Card,Pending
TXN_000227,CUST_0215,PROD_0190,5,641.16,0.06,3013.45,2025-05-20,E-wallet,Cancelled
TXN_000228,CUST_0495,PROD_0160,2,59.58,0.21,94.14,2025-05-16,Credit Card,Pending
TXN_000229,CUST_0597,PROD_0170,5,421.87,0.01,2088.26,2025-06-01,Credit Card,Pending
TXN_000230,CUST_0206,PROD_0179,5,352.29,0.08,1620.53,2025-05-23,Credit Card,Completed
TXN_000231,CUST_0398,PROD_0170,3,421.87,0.2,1012.49,2025-05-08,E-wallet,Completed
TXN_000232,CUST_0020,PROD_0075,4,344.49,0.07,1281.5,2025-05-25,Credit Card,Pending
TXN_000233,CUST_0497,PROD_0153,5,168.77,0.03,818.53,2025-05-31,Bank Transfer,Cancelled
TXN_000234,CUST_0949,PROD_0183,1,327.43,0.01,324.16,2025-05-08,E-wallet,Pending
TXN_000235,CUST_0502,PROD_0101,2,612.96,0.01,1213.66,2025-05-16,E-wallet,Pending
TXN_000236,CUST_0641,PROD_0078,2,276.73,0.3,387.42,2025-05-21,E-wallet,Completed
TXN_000237,CUST_0641,PROD_0066,4,783.87,0.27,2288.9,2025-05-11,Credit Card,Cancelled
TXN_000238,CUST_0972,PROD_0072,2,152.41,0.05,289.58,2025-05-09,Bank Transfer,Cancelled
TXN_000239,CUST_0141,PROD_0023,4,337.86,0.16,1135.21,2025-05-16,Debit Card,Pending
TXN_000240,CUST_0247,PROD_0147,2,426.66,0.13,742.39,2025-05-28,E-wallet,Pending
TXN_000241,CUST_0556,PROD_0034,2,551.58,0.2,882.53,2025-05-19,Debit Card,Completed
TXN_000242,CUST_0317,PROD_0177,5,527.87,0.27,1926.73,2025-05-24,Debit Card,Cancelled
TXN_000243,CUST_0956,PROD_0145,2,386.45,0.1,695.61,2025-05-20,Credit Card,Completed
TXN_000244,CUST_0326,PROD_0038,1,974.65,0.23,750.48,2025-05-09,Bank Transfer,Pending
TXN_000245,CUST_0311,PROD_0114,3,657.89,0.05,1874.99,2025-05-31,Credit Card,Completed
TXN_000246,CUST_0190,PROD_0007,5,99.35,0.19,402.37,2025-05-18,Debit Card,Cancelled
TXN_000247,CUST_0238,PROD_0060,1,134.92,0.11,120.08,2025-05-15,Bank Transfer,Completed
TXN_000248,CUST_0515,PROD_0155,4,12.71,0.21,40.16,2025-05-26,Debit Card,Pending
TXN_000249,CUST_0504,PROD_0122,2,987.32,0.05,1875.91,2025-05-30,Credit Card,Pending
TXN_000250,CUST_0783,PROD_0004,3,37.92,0.29,80.77,2025-05-30,Debit Card,Completed
TXN_000251,CUST_0068,PROD_0046,4,494.21,0.26,1462.86,2025-05-22,E-wallet,Pending
TXN_000252,CUST_0909,PROD_0064,4,858.06,0.12,3020.37,2025-06-05,Bank Transfer,Cancelled
TXN_000253,CUST_0321,PROD_0101,5,612.96,0.28,2206.66,2025-05-19,Credit Card,Cancelled
TXN_000254,CUST_0112,PROD_0116,4,377.97,0.25,1133.91,2025-06-05,Debit Card,Cancelled
TXN_000255,CUST_0551,PROD_0102,1,73.2,0.17,60.76,2025-05-21,Credit Card,Completed
TXN_000256,CUST_0299,PROD_0113,4,727.93,0.27,2125.56,2025-05-13,E-wallet,Pending
TXN_000257,CUST_0171,PROD_0109,3,817.85,0.18,2011.91,2025-06-05,Debit Card,Pending
TXN_000258,CUST_0850,PROD_0166,4,191.04,0.03,741.24,2025-05-21,Credit Card,Completed
TXN_000259,CUST_0798,PROD_0150,5,126.56,0.04,607.49,2025-05-24,E-wallet,Pending
